feature,importance
hours_ma28,0.2261904761904762
deadline_pressure_ma28,0.15714285714285714
sleep_ma28,0.15119047619047618
stress_ma28,0.10476190476190476
mgr_support_ma28,0.05
deadline_pressure_ma7,0.041666666666666664
mood_ma28,0.041666666666666664
stress_ma7,0.036904761904761905
mgr_support,0.034523809523809526
sleep_ma7,0.023809523809523808
mgr_support_ma7,0.02023809523809524
mood,0.016666666666666666
peer_support_ma7,0.016666666666666666
peer_support_ma28,0.016666666666666666
days_since_pto,0.016666666666666666
mood_ma7,0.015476190476190477
sleep,0.005952380952380952
sleep_std7,0.005952380952380952
deadline_pressure,0.004761904761904762
peer_support,0.0035714285714285713
hours_ma7,0.0011904761904761906
on_call_load_ma7,0.0011904761904761906
stress_delta7,0.0011904761904761906
sleep_delta7,0.0011904761904761906
mood_std7,0.0011904761904761906
stress_slope7,0.0011904761904761906
had_layoff_14d,0.0011904761904761906
hours_x_stress,0.0011904761904761906
hours,0.0
stress,0.0
on_call_load,0.0
on_call_load_ma28,0.0
hours_delta7,0.0
mood_delta7,0.0
deadline_pressure_delta7,0.0
hours_std7,0.0
stress_std7,0.0
hours_slope7,0.0
had_reorg_14d,0.0
had_deadline_14d,0.0
low_sleep_high_hours,0.0
